Geoname ID;Name;ASCII Name;Alternate Names;Latitude;Longitude;Feature Class;Feature Code;Country Code;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;Country;Coordinates
711536;Borzna;Borzna;Borsna,Borzna,bo er zi na,boruzuna,bwrzna,Борзна,Բորզնա,بورزنا,ボルズナー,博爾茲納;51.25464;32.4269;P;PPLA2;UA;;02;;;;11363;;130;Europe/Kiev;2014-11-05;Ukraine;51.25464, 32.4269
711623;Borova;Borova;Borova,Borovaja,Borovaya,Borowaja,Боровая;49.3777;37.62136;P;PPLA2;UA;;07;;;;6589;;88;Europe/Kiev;2014-07-08;Ukraine;49.3777, 37.62136
712300;Berezivka;Berezivka;Berezivka,Berezovka,Berëzovka,Березовка,Березівка;49.43935;35.70736;P;PPL;UA;;07;;;;1618;;119;Europe/Kiev;2015-05-06;Ukraine;49.43935, 35.70736
712920;Zaritcha;Zaritcha;Zarech'e,Заречье;49.71667;29.23333;P;PPL;UA;;27;;;;2178;;215;Europe/Kiev;2013-02-16;Ukraine;49.71667, 29.23333
8504651;Sofiyivska Borschagivka;Sofiyivska Borschagivka;Sofievskaja Borshhagovka,Софиевская Борщаговка;50.41005;30.36724;P;PPL;UA;;13;;;;6571;;163;Europe/Kiev;2013-03-17;Ukraine;50.41005, 30.36724
689584;Vil’nyans’k;Vil'nyans'k;Chervonoarmeyskoye,Krasnoarmeyskoye,Sofiyevka,Vil'njans'k,Vil'nyans'k,Vil’nyans’k,Vol'nyansk,Vol’nyansk,Вільнянськ;47.94381;35.43539;P;PPLA2;UA;;26;;;;0;;144;Europe/Zaporozhye;2014-06-05;Ukraine;47.94381, 35.43539
689736;Vesele;Vesele;Vesele,Veseloye,Vesëloye,Веселе;47.01479;34.91504;P;PPLA2;UA;;26;;;;10683;;76;Europe/Zaporozhye;2014-12-03;Ukraine;47.01479, 34.91504
689830;Verkhnya Syrovatka;Verkhnya Syrovatka;Verkh.Syrovatka,Verkhnja Sirovatka,Verkhnya Syrovatka,Verkhnyaya Syrovatka,Верх.Сыроватка,Верхня Сироватка;50.82902;34.95861;P;PPL;UA;;21;;;;3669;;142;Europe/Kiev;2012-11-08;Ukraine;50.82902, 34.95861
689916;Verkhn’odniprovs’k;Verkhn'odniprovs'k;Verkhn'odniprovs'k,Verkhne-Dnyeprovsk,Verkhnedneprovsk,Verkhn’odniprovs’k,Верхнеднепровск;48.65242;34.33457;P;PPLA2;UA;;04;;;;0;;107;Europe/Kiev;2014-07-08;Ukraine;48.65242, 34.33457
690434;Vary;Vary;Mezovari,Mezővári,Vari,Vary,Vári,Вари;48.12207;22.71281;P;PPL;UA;;25;;;;2998;;113;Europe/Uzhgorod;2012-05-06;Ukraine;48.12207, 22.71281
691422;Tomashpil’;Tomashpil';Tomashpil',Tomashpil’,Tomashpol',Tomashpol’,Томашпіль;48.54256;28.51684;P;PPLA2;UA;;23;;;;0;;240;Europe/Kiev;2014-10-01;Ukraine;48.54256, 28.51684
691708;Teplyk;Teplyk;Teplik,Teplyk,Теплик;48.66566;29.74504;P;PPLA2;UA;;23;;;;6604;;201;Europe/Kiev;2014-10-01;Ukraine;48.66566, 29.74504
692129;Svalyava;Svalyava;Svalava,Svaljava,Svalva,Svalyava,Свалява;48.54853;22.99578;P;PPL;UA;;25;;;;16507;;208;Europe/Uzhgorod;2012-04-05;Ukraine;48.54853, 22.99578
692832;Starobil’s’k;Starobil's'k;Bel'skiy Gorodok,Bel’skiy Gorodok,Staraya Belaya,Starobel'sk,Starobel’sk,Starobil's'k,Starobil’s’k,Старобельск,Старобільськ;49.27832;38.91069;P;PPLA2;UA;;14;;;;22000;;62;Europe/Zaporozhye;2014-12-03;Ukraine;49.27832, 38.91069
693301;Sokal’;Sokal';Sokal',Sokal’,Сокаль;50.47438;24.28288;P;PPLA2;UA;;15;;;;21451;;198;Europe/Kiev;2014-08-06;Ukraine;50.47438, 24.28288
693920;Shpola;Shpola;Shpola,Шпола;49.00687;31.39471;P;PPLA2;UA;;01;;;;18689;;150;Europe/Kiev;2014-11-05;Ukraine;49.00687, 31.39471
694148;Shevchenkove;Shevchenkove;Shevchenko,Shevchenkove,Shevchenkovo,Шевченкове,Шевченково;46.86289;32.20387;P;PPL;UA;;16;;;;3031;;44;Europe/Kiev;2014-02-09;Ukraine;46.86289, 32.20387
